Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
Time Out,,"Brubeck, Dave ",,Jazz,,,,,,2,,,,,,
Plays Brubeck,,"Brubreck, Dave",,Jazz,,,,,,2,,,,,,
Little Band Big Jazz,,"Candoli, Conte, Buddy Collette, Vince Guaraldi, Leroy Vinnegar, Stan Levey",,Jazz,,,,,,2,,,,,,
The Golden Touch,,"Carle, Frankie",,Jazz,,,,,,2,,,,,,
22 of the Greatest Ragtime Hits,,"Castle, Jo Ann",,Jazz,,,,,,2,,,,,,
Live at the Belly Up Tavern,,Chicago Six,,Jazz,,,,,,2,,,,,,
Rhythm Crazy,,"Cleveland, Jimmy",,Jazz,,,,,,2,,,,,,
Basie At Birdland,,Count Basie,,Jazz,,,,,,2,,,,,,
Basie Rides Again,,Count Basie,,Jazz,,,,,,2,,,,,,
Chairman of the Board,,Count Basie,,Jazz,,,,,,2,,,,,,
Count Basie at the Savoy Ballroom,,Count Basie,,Jazz,,,,,,2,,,,,,
Not Now I'll Tell You When,,Count Basie,,Jazz,,,,,,2,,,,,,
The Count Basie Years,,Count Basie,,Jazz,,,,,,2,,,,,,
This Time by Basie!,,Count Basie,,Jazz,,,,,,2,,,,,,
Count Basie and Friends,,Count Basie - Sarah Vaughn - Billy Eckstine - Joe Williams - Tony Bennett,,Jazz,,,,,,2,,,,,,
Bennett & Basie Strike Up The Band,,Count Basie & Tony Bennett,,Jazz,,,,,,2,,,,,,
April in Paris,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
Atomic Mr. Basie,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
Back With Basie,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
Basie Meets Bond,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
Count Basie and his Orchestra,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
Essential Count Basie,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
On the Road,,Count Basie and his Orchestra,,Jazz,,,,,,2,,,,,,
Class of '69,,"Cramer, Floyd",,Jazz,,,,,,2,,,,,,
C'est Si Bon,,"Crosby, Bob",,Jazz,,,,,,2,,,,,,
The Incomparable Scott Davis,,"Davis, Scott",,Jazz,,,,,,2,,,,,,
That's a Plenty,,Desert City Six,,Jazz,,,,,,2,,,,,,
Volume III,,Desert City Six,,Jazz,,,,,,2,,,,,,
The Great Jimmy Dorsey,,"Dorsey, Jimmy and his Orchestra",,Jazz,,,,,,2,,,,,,
Everything I Have is Yours,,"Eckstine, Billy",,Jazz,,,,,,2,,,,,,
Nightlife for Daydreamers,,Eddie & Betty,,Jazz,,,,,,2,,,,,,
Plays Duke Ellington,,"Ellington, Duke",,Jazz,,,,,,2,,,,,,
The Duke Plays Ellington,,"Ellington, Duke",,Jazz,,,,,,2,,,,,,
The Fats Waller Legacy,,Fats Waller,,Jazz,,,,,,2,,,,,,
Chameleon,,"Ferguson, Maynard",,Jazz,,,,,,2,,,,,,
Live from San Fransisco,,"Ferguson, Maynard",,Jazz,,,,,,2,,,,,,
One O'clock Jump,,"Fitzgerald, Ella, Count Basie, Joe Williams",,Jazz,,,,,,2,,,,,,
Catch a Rising Star,,"Gary, John",,Jazz,,,,,,2,,,,,,
John Gary,,"Gary, John",,Jazz,,,,,,2,,,,,,
Just For You,,"Gary, John",,Jazz,,,,,,2,,,,,,
So Tenderly,,"Gary, John",,Jazz,,,,,,2,,,,,,
The Modern World of Stan Getz,,"Getz, Stan",,Jazz,,,,,,2,,,,,,
Rockin Rhythm,,"Gibson, Harry ""The Hipster""",,Jazz,,,,,,2,,,,,,
Bird & Diz,,"Gillespie, Dizzy and Charlie Parker",,Jazz,,,,,,2,,,,,,
Diz 'n' Bird: The Beggfning,,"Gillespie, Dizzy and Charlie Parker",,Jazz,,,,,,2,,,,,,
"Swing, Swing, Swing",,"Goodman, Benny ",,Jazz,,,,,,2,,,,,,
The Hits of Benny Goodman,,"Goodman, Benny ",,Jazz,,,,,,2,,,,,,
Glen Gray and the Original Casa Loma Orchestra's Greatest Hits,,"Gray, Glen",,Jazz,,,,,,2,,,,,,
Sounds of the Great Casa Loma Band,,"Gray, Glen",,Jazz,,,,,,2,,,,,,
Keith Grecko Trio at the Phoenix Playboy Club,,"Grecko, Keith Trio",,Jazz,,,,,,2,,,,,,
12 Classic Performances,,"Green, Jane",,Jazz,,,,,,2,,,,,,
Quintet '80,,"Grisman, David",,Jazz,,,,,,2,,,,,,
"Groovin, and Spoonin,",,Groove Holmes & Jimmy Witherspoon,,Jazz,,,,,,2,,,,,,
Cast Your Fate to the Wind,,"Guaraldi, Vince Trio",,Jazz,,,,,,2,,,,,,
Symphony for Glenn,,Hamburg Philharmonia Orchestra,,Jazz,,,,,,2,,,,,,
The Great Chico Hamilton,,"Hamilton, Chico",,Jazz,,,,,,2,,,,,,
Hits I Missed,,"Heath, Ted",,Jazz,,,,,,2,,,,,,
Art of Love,,"Henry, Cory and the Funk Apostles",,Jazz,,,,,,2,,,,,,
At Carnegie Hall,,"Herman, Woody",,Jazz,,,,,,2,,,,,,
The New Swingin Herman Herd,,"Herman, Woody",,Jazz,,,,,,2,,,,,,
The Thundering Herds,,"Herman, Woody",,Jazz,,,,,,2,,,,,,
Eddie Heywood,,"Heywood, Eddie",,Jazz,,,,,,2,,,,,,
